State,Abbreviation,Region,SubRegion,Agency Admin Region,Bureau of Economic Analysis
Alabama,AL,South,East South Central,IV,Southeast
Alaska,AK,West,Pacific,X,Far West
Arizona,AZ,West,Mountain,IX,Southwest
Arkansas,AR,South,West South Central,VI,Southeast
California,CA,West,Pacific,IX,Far West
Colorado,CO,West,Mountain,VIII,Rocky Mountain
Connecticut,CT,Northeast,New England,I,New England
Delaware,DE,South,South Atlantic,III,Mideast
District of Columbia,DC,South,South Atlantic,III,Mideast
Florida,FL,South,South Atlantic,IV,Southeast
Georgia,GA,South,South Atlantic,IV,Southeast
Hawaii,HI,West,Pacific,IX,Far West
Idaho,ID,West,Mountain,X,Rocky Mountain
Illinois,IL,Midwest,East North Central,V,Great Lakes
Indiana,IN,Midwest,East North Central,V,Great Lakes
Iowa,IA,Midwest,West North Central,VII,Plains
Kansas,KS,Midwest,West North Central,VII,Plains
Kentucky,KY,South,East South Central,IV,Southeast
Louisiana,LA,South,West South Central,VI,Southeast
Maine,ME,Northeast,New England,I,New England
Maryland,MD,South,South Atlantic,III,Mideast
Massachusetts,MA,Northeast,New England,I,New England
Michigan,MI,Midwest,East North Central,V,Great Lakes
Minnesota,MN,Midwest,West North Central,V,Plains
Mississippi,MS,South,East South Central,IV,Southeast
Missouri,MO,Midwest,West North Central,VII,Plains
Montana,MT,West,Mountain,VIII,Rocky Mountain
Nebraska,NE,Midwest,West North Central,VII,Plains
Nevada,NV,West,Mountain,IX,Far West
New Hampshire,NH,Northeast,New England,I,New England
New Jersey,NJ,Northeast,Mid-Atlantic,II,Mideast
New Mexico,NM,West,Mountain,VI,Southwest
New York,NY,Northeast,Mid-Atlantic,II,Mideast
North Carolina,NC,South,South Atlantic,IV,Southeast
North Dakota,ND,Midwest,West North Central,VIII,Plains
Ohio,OH,Midwest,East North Central,V,Great Lakes
Oklahoma,OK,South,West South Central,VI,Southwest
Oregon,OR,West,Pacific,X,Far West
Pennsylvania,PA,Northeast,Mid-Atlantic,III,Mideast
Rhode Island,RI,Northeast,New England,I,New England
South Carolina,SC,South,South Atlantic,IV,Southeast
South Dakota,SD,Midwest,West North Central,VIII,Plains
Tennessee,TN,South,East South Central,IV,Southeast
Texas,TX,South,West South Central,VI,Southwest
Utah,UT,West,Mountain,VIII,Rocky Mountain
Vermont,VT,Northeast,New England,I,New England
Virginia,VA,South,South Atlantic,III,Southeast
Washington,WA,West,Pacific,X,Far West
West Virginia,WV,South,South Atlantic,III,Southeast
Wisconsin,WI,Midwest,East North Central,V,Great Lakes
Wyoming,WY,West,Mountain,VIII,Rocky Mountain
