Weather_Condition,proportion
Fair,0.33865069043496987
Mostly Cloudy,0.13430347661136008
Cloudy,0.10842976781173118
Clear,0.10747301629376828
Partly Cloudy,0.09254189411949867
Overcast,0.051161355522237224
Light Rain,0.046448008217294424
Scattered Clouds,0.02679732606588746
Light Snow,0.01687361768043671
Fog,0.013098383876873121
Rain,0.011182809950215786
Haze,0.010132868349334415
Fair / Windy,0.0048148209507873525
Heavy Rain,0.004350941426926549
Light Drizzle,0.003027642249484348
Thunder in the Vicinity,0.0024105168114909583
Mostly Cloudy / Windy,0.002300759602720322
Cloudy / Windy,0.0021930732846812072
T-Storm,0.0021309465627355638
Snow,0.0019942677744551485
Thunder,0.0018762270027584264
Light Rain with Thunder,0.0016836341647269324
Smoke,0.0016504999130225893
Wintry Mix,0.0015904440818084674
Partly Cloudy / Windy,0.0013440080847574158
Heavy T-Storm,0.0013150156145161156
Light Rain / Windy,0.001035445365760721
Light Snow / Windy,0.0008262854018770554
Heavy Snow,0.0006254090009194755
Drizzle,0.0006171254379933898
Light Thunderstorms and Rain,0.0006047000936042611
Thunderstorm,0.000590203858483611
Patches of Fog,0.0005301480272694891
Light Freezing Rain,0.0004680213053238459
Mist,0.00045559596093471726
Shallow Fog,0.0004183199277673313
N/A Precipitation,0.00041210725557276693
Heavy Thunderstorms and Rain,0.0003499805336271237
Rain / Windy,0.0003292716263119093
Thunderstorms and Rain,0.0002961373746075662
Haze / Windy,0.0002505777785140945
Heavy Rain / Windy,0.00022572708973583717
Showers in the Vicinity,0.00018430927510540833
Light Freezing Drizzle,0.00018016749364236547
Snow / Windy,0.00015531680486410816
Heavy T-Storm / Windy,0.00015531680486410816
T-Storm / Windy,0.00013046611608585085
Blowing Snow / Windy,0.00011804077169672219
Light Freezing Fog,0.00011182809950215787
Heavy Snow / Windy,0.00010975720877063643
Fog / Windy,0.00010561542730759354
Thunder / Windy,8.9048301455422e-05
Blowing Snow,8.697741072390056e-05
Drizzle and Fog,6.005583121412182e-05
Snow and Sleet,5.798494048260037e-05
Heavy Drizzle,5.798494048260037e-05
Light Sleet,4.763048682499317e-05
Light Rain Shower,4.141781463042884e-05
Light Drizzle / Windy,4.141781463042884e-05
Blowing Dust / Windy,3.5205142435864514e-05
Wintry Mix / Windy,3.5205142435864514e-05
Blowing Dust,3.313425170434307e-05
Light Rain Showers,2.6921579509778745e-05
Light Ice Pellets,2.4850688778257304e-05
Light Snow and Sleet,2.2779798046735862e-05
Freezing Rain,2.2779798046735862e-05
Widespread Dust,2.2779798046735862e-05
Small Hail,2.070890731521442e-05
Ice Pellets,1.6567125852171535e-05
Smoke / Windy,1.4496235120650093e-05
Sleet,1.2425344389128652e-05
Light Freezing Rain / Windy,1.2425344389128652e-05
Funnel Cloud,1.2425344389128652e-05
Sand / Dust Whirlwinds,1.035445365760721e-05
Hail,1.035445365760721e-05
Rain Showers,1.035445365760721e-05
Snow and Sleet / Windy,8.283562926085767e-06
Light Snow Shower,8.283562926085767e-06
Light Snow and Sleet / Windy,6.212672194564326e-06
Widespread Dust / Windy,6.212672194564326e-06
Light Snow with Thunder,6.212672194564326e-06
Partial Fog,6.212672194564326e-06
Light Rain Shower / Windy,6.212672194564326e-06
Thunder / Wintry Mix,6.212672194564326e-06
Heavy Sleet,4.141781463042884e-06
Light Snow Showers,4.141781463042884e-06
Squalls / Windy,4.141781463042884e-06
Light Thunderstorms and Snow,4.141781463042884e-06
Freezing Drizzle,4.141781463042884e-06
Squalls,2.070890731521442e-06
Light Blowing Snow,2.070890731521442e-06
Mist / Windy,2.070890731521442e-06
Volcanic Ash,2.070890731521442e-06
Drifting Snow / Windy,2.070890731521442e-06
Thunder and Hail,2.070890731521442e-06
Light Snow Grains,2.070890731521442e-06
Light Haze,2.070890731521442e-06
Snow Grains,2.070890731521442e-06
Tornado,2.070890731521442e-06
Drizzle / Windy,2.070890731521442e-06
Light Hail,2.070890731521442e-06
Sleet / Windy,2.070890731521442e-06
Rain Shower,2.070890731521442e-06
Partial Fog / Windy,2.070890731521442e-06
Snow and Thunder,2.070890731521442e-06
Heavy Freezing Drizzle,2.070890731521442e-06
Low Drifting Snow,2.070890731521442e-06
